commanded position, signed delta, theoretical position, actual position, error
-2.12309, 4.67, -2.12,-2.12,-0.00309
2.33618, 4.46, 2.34,2.34,0.00382
2.65894, 0.32, 2.66,2.66,0.00106
-3.75598, -6.42, -3.76,-3.6076,-0.14838
6.22733, -9.99, 6.23,6.0776,-0.14973
-4.34738, -10.58, -4.35,-4.1976,-0.14978
4.63232, -8.98, 4.63,4.4776,-0.15472
9.35989, 4.73, 9.36,9.36,0.00011
-5.95191, -15.31, -5.95,-5.7976,-0.15431
7.97796, -13.93, 7.98,7.8276,-0.15036
5.05619, -2.92, 5.06,5.2124,0.15621
7.192, -2.13, 7.19,7.0376,-0.1544
-5.48068, -12.67, -5.48,-5.3276,-0.15308
4.43549, -9.92, 4.44,4.2876,-0.14789
-3.51931, -7.96, -3.52,-3.3676,-0.15171
-2.33408, -1.19, -2.33,-2.4824,0.14832
-0.11501, 2.21, -0.12,-0.12,0.00499
1.91461, 2.03, 1.91,1.91,-0.00461
-0.75459, -2.66, -0.75,-0.5976,-0.15699
7.58598, -8.34, 7.59,7.4376,-0.14838
-3.47445, -11.06, -3.47,-3.3176,-0.15685
-8.26171, 4.79, -8.26,-8.26,-0.00171
-3.14177, -5.12, -3.14,-3.2924,0.15063
0.15273, 3.29, 0.15,0.15,-0.00273
1.11076, 0.96, 1.11,1.11,-0.00076
9.28083, 8.17, 9.28,9.28,-0.00083
-4.93949, -14.22, -4.94,-4.7876,-0.15189
-2.26412, -2.68, -2.26,-2.4124,0.14828
3.51033, 5.77, 3.51,3.51,-0.00033
4.08495, 0.57, 4.08,4.08,-0.00495
0.1419, -3.94, 0.14,0.2924,0.1505
-0.03477, 0.17, -0.03,-0.03,-0.00477
-9.67434, 9.64, -9.67,-9.67,-0.00434
0.83286, -10.5, 0.83,0.6776,-0.15526
0.88658, 0.06, 0.89,0.89,0.00342
5.31086, 4.42, 5.31,5.31,-0.00086
-7.89881, -13.21, -7.9,-7.7476,-0.15121
-9.99393, 2.09, -9.99,-9.99,-0.00393
-1.86194, -8.13, -1.86,-2.0124,0.15046
-2.2775, -0.42, -2.28,-2.1276,-0.1499
-6.36856, 4.09, -6.37,-6.37,0.00144
-7.75238, 1.38, -7.75,-7.75,-0.00238
-1.91377, -5.84, -1.91,-2.0624,0.14863
5.63925, 7.55, 5.64,5.64,0.00075
-3.64217, -9.28, -3.64,-3.4876,-0.15457
-1.31282, -2.33, -1.31,-1.4624,0.14958
-8.41641, -7.11, -8.42,-8.2676,-0.14881
0.09753, -8.52, 0.1,-0.0524,-0.04513
0.96476, 0.86, 0.96,0.96,-0.00476
9.23656, 8.28, 9.24,9.24,0.00344
6.90965, -2.33, 6.91,7.0624,0.15275
-5.92927, 12.84, -5.93,-5.93,0.00073
6.70436, -12.63, 6.7,6.5476,-0.15676
